benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
287540251.yaml,81,0,13,68,0,0,0,0,0,0,0,0
287548039.yaml,12,3,6,3,2,0,0.6666666666666666,6,4,1,0,1
287726234.yaml,23,1,16,6,0,0,0.0,2,2,0,0,0
288269587.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
288435321.yaml,27,0,4,23,0,1,0,0,0,0,0,0
289090476.yaml,6,3,3,0,1,0,1.3333333333333333,11,6,2,1,2
289104281.yaml,60,0,4,56,0,0,0,0,0,0,0,0
289443394.yaml,38,0,4,34,0,0,0,0,0,0,0,0
290123176.yaml,21,1,17,3,0,0,0.0,2,2,0,0,0
290594099.yaml,6,1,4,1,1,0,0.0,1,1,0,0,0
291114882.yaml,15,2,6,7,1,0,0.0,3,3,0,0,0
291144158.yaml,39,0,4,35,0,0,0,0,0,0,0,0
291833158.yaml,81,3,20,58,1,1,1.3333333333333333,9,5,2,0,2
291978042.yaml,1,0,1,0,0,0,0,0,0,0,0,0
294034396.yaml,18,3,9,6,3,0,0.6666666666666666,5,4,1,0,0
294490185.yaml,14,3,6,5,2,0,0.6666666666666666,11,8,2,1,0
294645352.yaml,65,4,13,48,1,0,0.0,11,8,0,3,0
294729210.yaml,22,4,10,8,3,0,1.5,18,15,2,1,0
295025851.yaml,20,7,10,3,4,0,0.8571428571428571,19,13,3,1,2
296128463.yaml,9,2,4,3,1,0,0.0,3,3,0,0,0
296285016.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
296344808.yaml,25,2,18,5,0,0,0.0,4,4,0,0,0
296446909.yaml,2,0,2,0,0,0,0,0,0,0,0,0
296719293.yaml,53,25,23,5,5,0,1.84,139,105,17,8,9
297260353.yaml,5,0,3,2,0,0,0,0,0,0,0,0
297529770.yaml,4,0,4,0,0,0,0,0,0,0,0,0
297636830.yaml,7,1,4,2,0,0,0.0,4,3,0,1,0
298652058.yaml,9,2,5,2,1,0,0.0,3,3,0,0,0
298937341.yaml,34,12,18,4,3,0,1.5,49,37,7,3,2
